Token,shareName,Name,Market
21462,SPTL-EQ,SPTL,NSE
9931,VIKASLIFE-EQ,VIKASLIFE,NSE
13091,EKC-EQ,EKC,NSE
19599,PRAKASHSTL-EQ,PRAKASHSTL,NSE
16657,ANIKINDS-EQ,ANIKINDS,NSE
3634,UTTAMSTL-EQ,UTTAMSTL,NSE
10300,RAMASTEEL-EQ,RAMASTEEL,NSE
17933,BEARDSELL-EQ,BEARDSELL,NSE
8591,AKSHOPTFBR-EQ,AKSHOPTFBR,NSE
13367,SGL-EQ,SGL,NSE
15308,SHRIRAMEPC-EQ,SHRIRAMEPC,NSE
1162,GTL-EQ,GTL,NSE
31468,LYPSAGEMS-EQ,LYPSAGEMS,NSE
19049,SANCO-EQ,SANCO,NSE
25482,TIJARIA-EQ,TIJARIA,NSE
21733,RHFL-EQ,RHFL,NSE
11662,BCP-EQ,BCP,NSE
1327,HCL-INSYS-EQ,HCL-INSYS,NSE
25492,ONELIFECAP-EQ,ONELIFECAP,NSE
27297,RTNINDIA-EQ,RTNINDIA,NSE
5108,KPIGLOBAL-EQ,KPIGLOBAL,NSE
11743,JINDALPHOT-EQ,JINDALPHOT,NSE
3688,VIKASWSP-EQ,VIKASWSP,NSE
6218,SIKKO-EQ,SIKKO,NSE
10700,SURANAT&P-EQ,SURANAT&P,NSE
6792,SBC-EQ,SBC,NSE
6141,PANSARI-EQ,PANSARI,NSE
2514,OSWALAGRO-EQ,OSWALAGRO,NSE
11149,SHRENIK-EQ,SHRENIK,NSE
12018,SUZLON-EQ,SUZLON,NSE
7211,JETFREIGHT-EQ,JETFREIGHT,NSE
,,GAL,NSE
,,INDOTHAI,NSE
,,KARMAENG,NSE
,,LPDC,NSE
13367,SGL-EQ,SGL,NSE
,,BHANDARI,NSE
,,HCL-INSYS,NSE
,,HUBTOWN,NSE
,,KANANIIND,NSE
19599,PRAKASHSTL-EQ,PRAKASHSTL,NSE
,,SUZLON,NSE
,,BEARDSELL,NSE
,,DBSTOCKBRO,NSE
,,LCCINFOTEC,NSE
,,RTNPOWER,NSE
,,SERVOTECH,NSE
,,MANAKCOAT,NSE
,,BURNPUR,NSE
,,ISMTLTD,NSE
,,KRIDHANINF,NSE
,,MINDTECK,NSE
,,PATSPINLTD,NSE
,,RTNINDIA,NSE
,,LYKALABS,NSE
,,LSIL,NSE
3908,PREMIERPOL-EQ,PREMIER,NSE
,,TTML,NSE
